datum,artikel,menge,grund,belegnummer
2024-03-01,100097,63,Versand,WA-20254
2024-03-02,100045,11,Reparatur,WA-20255
2024-03-02,100097,37,Versand,WA-20256
2024-03-02,100028,67,Versand,WA-20257
2024-03-02,100003,10,Versand,WA-20258
2024-03-02,100080,47,Versand,WA-20259
2024-03-03,100098,49,Versand,WA-20260
2024-03-03,100012,42,Produktion,WA-20261
2024-03-03,100038,56,Versand,WA-20262
2024-03-03,100014,48,Produktion,WA-20263
2024-03-03,100028,49,Versand,WA-20264
2024-03-03,100028,17,Versand,WA-20265
2024-03-03,100074,21,Versand,WA-20266
2024-03-03,100031,28,Reparatur,WA-20267
2024-03-04,100001,54,Versand,WA-20268
2024-03-05,100046,24,Produktion,WA-20269
2024-03-05,100077,23,Versand,WA-20270
2024-03-05,100083,53,Produktion,WA-20271
2024-03-06,100021,40,Versand,WA-20272
2024-03-06,100074,22,Produktion,WA-20273
2024-03-07,100026,31,Produktion,WA-20274
2024-03-07,100066,53,Retourenaufbereitung,WA-20275
2024-03-07,100080,6,Versand,WA-20276
2024-03-08,100055,57,Versand,WA-20277
2024-03-08,100091,30,Versand,WA-20278
2024-03-09,100092,6,Reparatur,WA-20279
2024-03-09,100020,24,Versand,WA-20280
2024-03-09,100046,47,Produktion,WA-20281
2024-03-09,100079,69,Versand,WA-20282
2024-03-09,100058,68,Versand,WA-20283
2024-03-09,100083,36,Versand,WA-20284
2024-03-09,100005,57,Retourenaufbereitung,WA-20285
2024-03-10,100018,3,Produktion,WA-20286
2024-03-10,100056,40,Retourenaufbereitung,WA-20287
2024-03-12,100068,8,Versand,WA-20288
2024-03-12,100002,27,Produktion,WA-20289
2024-03-13,100000,19,Produktion,WA-20290
2024-03-13,100057,63,Versand,WA-20291
2024-03-14,100037,14,Reparatur,WA-20292
2024-03-15,100014,8,Retourenaufbereitung,WA-20293
2024-03-15,100033,29,Reparatur,WA-20294
2024-03-15,100060,10,Produktion,WA-20295
2024-03-15,100034,67,Versand,WA-20296
2024-03-15,100063,59,Versand,WA-20297
2024-03-15,100024,42,Retourenaufbereitung,WA-20298
2024-03-16,100023,16,Versand,WA-20299
2024-03-16,100011,37,Produktion,WA-20300
2024-03-16,100017,50,Produktion,WA-20301
2024-03-16,100014,58,Produktion,WA-20302
2024-03-16,100079,51,Retourenaufbereitung,WA-20303
2024-03-18,100026,15,Versand,WA-20304
2024-03-18,100071,63,Versand,WA-20305
2024-03-18,100059,51,Versand,WA-20306
2024-03-18,100045,48,Versand,WA-20307
2024-03-18,100088,64,Versand,WA-20308
2024-03-18,100016,10,Versand,WA-20309
2024-03-20,100092,45,Reparatur,WA-20310
2024-03-20,100052,22,Retourenaufbereitung,WA-20311
2024-03-21,100007,41,Versand,WA-20312
2024-03-21,100078,51,Versand,WA-20313
2024-03-21,100026,66,Retourenaufbereitung,WA-20314
2024-03-21,100045,64,Versand,WA-20315
2024-03-21,100049,56,Versand,WA-20316
2024-03-21,100070,11,Versand,WA-20317
2024-03-22,100002,39,Produktion,WA-20318
2024-03-22,100092,51,Versand,WA-20319
2024-03-22,100063,43,Retourenaufbereitung,WA-20320
2024-03-23,100043,19,Versand,WA-20321
2024-03-23,100052,23,Versand,WA-20322
2024-03-24,100023,53,Versand,WA-20323
2024-03-24,100059,61,Versand,WA-20324
2024-03-24,100002,41,Produktion,WA-20325
2024-03-25,100019,57,Produktion,WA-20326
2024-03-25,100045,43,Produktion,WA-20327
2024-03-26,100014,41,Produktion,WA-20328
2024-03-26,100024,15,Retourenaufbereitung,WA-20329
2024-03-26,100093,66,Reparatur,WA-20330
2024-03-26,100077,13,Produktion,WA-20331
2024-03-26,100070,21,Versand,WA-20332
2024-03-27,100016,13,Versand,WA-20333
2024-03-27,100083,48,Versand,WA-20334
2024-03-28,100099,47,Produktion,WA-20335
2024-03-28,100008,3,Versand,WA-20336
2024-03-29,100037,42,Versand,WA-20337
2024-03-29,100047,21,Reparatur,WA-20338
2024-03-29,100059,63,Reparatur,WA-20339
2024-03-29,100062,14,Retourenaufbereitung,WA-20340
2024-03-29,100085,63,Versand,WA-20341
2024-03-30,100001,35,Produktion,WA-20342
2024-03-30,100087,47,Versand,WA-20343
2024-03-30,100071,10,Versand,WA-20344
2024-03-30,100010,27,Versand,WA-20345
2024-03-30,100063,48,Versand,WA-20346
2024-03-31,100076,32,Versand,WA-20347
2024-04-01,100080,49,Reparatur,WA-20348
2024-04-01,100071,51,Versand,WA-20349
2024-04-01,100020,49,Produktion,WA-20350
2024-04-01,100017,20,Versand,WA-20351
2024-04-01,100093,68,Versand,WA-20352
2024-04-01,100063,35,Versand,WA-20353
2024-04-02,100081,38,Versand,WA-20354
2024-04-02,100094,21,Produktion,WA-20355
2024-04-03,100037,30,Versand,WA-20356
2024-04-03,100031,42,Versand,WA-20357
2024-04-03,100010,17,Versand,WA-20358
2024-04-04,100044,43,Versand,WA-20359
2024-04-04,100088,41,Retourenaufbereitung,WA-20360
2024-04-04,100032,4,Versand,WA-20361
2024-04-04,100040,65,Produktion,WA-20362
2024-04-04,100007,31,Produktion,WA-20363
2024-04-04,100010,68,Retourenaufbereitung,WA-20364
2024-04-04,100085,53,Reparatur,WA-20365
2024-04-05,100050,12,Produktion,WA-20366
2024-04-05,100087,16,Produktion,WA-20367
2024-04-05,100040,53,Reparatur,WA-20368
2024-04-05,100016,41,Versand,WA-20369
2024-04-05,100075,30,Versand,WA-20370
2024-04-05,100045,5,Versand,WA-20371
2024-04-06,100031,29,Reparatur,WA-20372
2024-04-06,100078,4,Reparatur,WA-20373
2024-04-06,100079,40,Versand,WA-20374
2024-04-06,100053,5,Produktion,WA-20375
2024-04-07,100085,18,Versand,WA-20376
2024-04-07,100091,42,Versand,WA-20377
2024-04-07,100019,4,Retourenaufbereitung,WA-20378
2024-04-07,100032,43,Versand,WA-20379
2024-04-07,100073,14,Versand,WA-20380
2024-04-07,100039,37,Produktion,WA-20381
2024-04-07,100031,67,Produktion,WA-20382
2024-04-08,100096,57,Versand,WA-20383
2024-04-08,100001,47,Produktion,WA-20384
2024-04-08,100096,64,Versand,WA-20385
2024-04-08,100032,51,Versand,WA-20386
2024-04-08,100076,27,Versand,WA-20387
2024-04-08,100029,25,Produktion,WA-20388
2024-04-08,100032,26,Versand,WA-20389
2024-04-08,100076,40,Retourenaufbereitung,WA-20390
2024-04-08,100025,30,Reparatur,WA-20391
2024-04-09,100021,23,Retourenaufbereitung,WA-20392
2024-04-09,100065,56,Versand,WA-20393
2024-04-09,100037,20,Retourenaufbereitung,WA-20394
2024-04-09,100089,38,Versand,WA-20395
2024-04-10,100045,47,Versand,WA-20396
2024-04-10,100014,55,Versand,WA-20397
2024-04-10,100097,32,Versand,WA-20398
2024-04-10,100043,62,Produktion,WA-20399
2024-04-10,100048,34,Versand,WA-20400
2024-04-10,100074,69,Versand,WA-20401
2024-04-10,100060,69,Produktion,WA-20402
2024-04-10,100066,30,Versand,WA-20403
2024-04-11,100005,46,Produktion,WA-20404
2024-04-12,100008,43,Versand,WA-20405
2024-04-12,100005,65,Reparatur,WA-20406
2024-04-12,100072,25,Reparatur,WA-20407
2024-04-12,100094,50,Versand,WA-20408
2024-04-12,100031,34,Versand,WA-20409
2024-04-13,100040,59,Versand,WA-20410
2024-04-13,100075,35,Reparatur,WA-20411
2024-04-13,100007,26,Versand,WA-20412
2024-04-13,100071,41,Versand,WA-20413
2024-04-13,100049,36,Versand,WA-20414
2024-04-13,100091,58,Versand,WA-20415
2024-04-13,100061,30,Versand,WA-20416
2024-04-13,100083,39,Reparatur,WA-20417
2024-04-14,100061,9,Versand,WA-20418
2024-04-14,100006,39,Versand,WA-20419
2024-04-15,100074,58,Reparatur,WA-20420
2024-04-15,100083,67,Reparatur,WA-20421
2024-04-15,100079,67,Versand,WA-20422
2024-04-15,100003,49,Versand,WA-20423
2024-04-16,100005,22,Versand,WA-20424
2024-04-16,100057,21,Retourenaufbereitung,WA-20425
2024-04-17,100021,31,Versand,WA-20426
2024-04-17,100025,62,Retourenaufbereitung,WA-20427
2024-04-17,100002,20,Produktion,WA-20428
2024-04-17,100040,37,Versand,WA-20429
2024-04-17,100059,45,Versand,WA-20430
2024-04-18,100013,13,Versand,WA-20431
2024-04-18,100074,51,Versand,WA-20432
2024-04-18,100081,40,Versand,WA-20433
2024-04-19,100011,66,Produktion,WA-20434
2024-04-20,100086,10,Retourenaufbereitung,WA-20435
2024-04-20,100011,36,Produktion,WA-20436
2024-04-20,100012,50,Produktion,WA-20437
2024-04-20,100024,58,Versand,WA-20438
2024-04-20,100044,67,Versand,WA-20439
2024-04-20,100018,33,Versand,WA-20440
2024-04-20,100054,6,Produktion,WA-20441
2024-04-20,100099,52,Retourenaufbereitung,WA-20442
2024-04-21,100044,32,Produktion,WA-20443
2024-04-21,100007,61,Versand,WA-20444
2024-04-21,100092,69,Versand,WA-20445
2024-04-21,100052,47,Produktion,WA-20446
2024-04-21,100054,6,Versand,WA-20447
2024-04-22,100031,28,Reparatur,WA-20448
2024-04-22,100050,29,Reparatur,WA-20449
2024-04-22,100043,48,Produktion,WA-20450
2024-04-22,100081,66,Versand,WA-20451
2024-04-22,100069,53,Versand,WA-20452
2024-04-22,100017,52,Versand,WA-20453
2024-04-22,100082,8,Versand,WA-20454
2024-04-22,100021,61,Versand,WA-20455
2024-04-22,100036,17,Produktion,WA-20456
2024-04-23,100095,32,Produktion,WA-20457
2024-04-23,100055,44,Versand,WA-20458
2024-04-23,100058,39,Versand,WA-20459
2024-04-24,100002,44,Versand,WA-20460
2024-04-24,100027,37,Versand,WA-20461
2024-04-24,100073,8,Reparatur,WA-20462
2024-04-25,100034,20,Versand,WA-20463
2024-04-25,100060,31,Versand,WA-20464
2024-04-25,100092,61,Versand,WA-20465
2024-04-26,100053,49,Reparatur,WA-20466
2024-04-26,100062,19,Produktion,WA-20467
2024-04-26,100078,24,Versand,WA-20468
2024-04-26,100096,39,Versand,WA-20469
2024-04-26,100006,51,Produktion,WA-20470
2024-04-27,100075,15,Retourenaufbereitung,WA-20471
2024-04-27,100048,36,Versand,WA-20472
2024-04-27,100093,55,Reparatur,WA-20473
2024-04-27,100084,53,Retourenaufbereitung,WA-20474
2024-04-27,100030,5,Retourenaufbereitung,WA-20475
2024-04-27,100057,44,Produktion,WA-20476
2024-04-28,100060,34,Produktion,WA-20477
2024-04-28,100023,53,Versand,WA-20478
2024-04-28,100019,48,Produktion,WA-20479
2024-04-29,100036,23,Versand,WA-20480
2024-04-29,100003,46,Produktion,WA-20481
2024-04-29,100091,13,Versand,WA-20482
2024-04-29,100019,3,Produktion,WA-20483
2024-04-30,100059,65,Reparatur,WA-20484
2024-04-30,100023,26,Versand,WA-20485
2024-05-01,100049,15,Reparatur,WA-20486
2024-05-01,100048,13,Versand,WA-20487
2024-05-01,100050,53,Reparatur,WA-20488
2024-05-01,100095,19,Versand,WA-20489
2024-05-01,100035,26,Versand,WA-20490
2024-05-01,100097,21,Retourenaufbereitung,WA-20491
2024-05-01,100099,39,Versand,WA-20492
2024-05-02,100065,10,Reparatur,WA-20493
2024-05-02,100078,30,Versand,WA-20494
2024-05-03,100033,7,Versand,WA-20495
2024-05-03,100035,19,Versand,WA-20496
2024-05-04,100005,38,Produktion,WA-20497
2024-05-04,100038,21,Versand,WA-20498
2024-05-05,100041,66,Versand,WA-20499
2024-05-05,100057,13,Versand,WA-20500
2024-05-05,100011,56,Versand,WA-20501
2024-05-05,100002,47,Retourenaufbereitung,WA-20502
2024-05-05,100017,49,Retourenaufbereitung,WA-20503
2024-05-05,100039,14,Versand,WA-20504
2024-05-06,100020,23,Produktion,WA-20505
2024-05-06,100014,13,Versand,WA-20506
2024-05-06,100096,7,Produktion,WA-20507
2024-05-06,100098,58,Reparatur,WA-20508
2024-05-07,100025,22,Retourenaufbereitung,WA-20509
2024-05-07,100007,43,Versand,WA-20510
2024-05-07,100099,48,Produktion,WA-20511
2024-05-07,100093,14,Versand,WA-20512
2024-05-07,100086,19,Retourenaufbereitung,WA-20513
2024-05-07,100041,21,Versand,WA-20514
2024-05-07,100043,28,Produktion,WA-20515
2024-05-08,100013,50,Produktion,WA-20516
2024-05-08,100077,54,Produktion,WA-20517
2024-05-08,100001,57,Versand,WA-20518
2024-05-08,100036,35,Retourenaufbereitung,WA-20519
2024-05-09,100068,64,Versand,WA-20520
2024-05-09,100037,25,Produktion,WA-20521
2024-05-09,100040,17,Versand,WA-20522
2024-05-09,100061,29,Versand,WA-20523
2024-05-09,100059,66,Versand,WA-20524
2024-05-10,100013,53,Versand,WA-20525
2024-05-10,100088,55,Versand,WA-20526
2024-05-10,100083,53,Versand,WA-20527
2024-05-10,100001,49,Versand,WA-20528
2024-05-10,100069,6,Produktion,WA-20529
2024-05-10,100016,9,Reparatur,WA-20530
2024-05-10,100088,37,Versand,WA-20531
2024-05-11,100027,50,Versand,WA-20532
2024-05-11,100065,47,Versand,WA-20533
2024-05-11,100034,21,Versand,WA-20534
2024-05-12,100004,65,Produktion,WA-20535
2024-05-12,100064,40,Produktion,WA-20536
2024-05-12,100039,69,Versand,WA-20537
2024-05-12,100075,61,Versand,WA-20538
2024-05-12,100055,15,Versand,WA-20539
2024-05-12,100035,49,Reparatur,WA-20540
2024-05-13,100044,63,Retourenaufbereitung,WA-20541
2024-05-13,100022,33,Versand,WA-20542
2024-05-13,100046,24,Versand,WA-20543
2024-05-13,100030,45,Reparatur,WA-20544
2024-05-13,100010,69,Retourenaufbereitung,WA-20545
2024-05-13,100009,56,Versand,WA-20546
2024-05-14,100066,12,Versand,WA-20547
2024-05-14,100013,44,Versand,WA-20548
2024-05-14,100079,66,Produktion,WA-20549
2024-05-15,100073,23,Versand,WA-20550
2024-05-15,100092,68,Versand,WA-20551
2024-05-15,100009,43,Produktion,WA-20552
2024-05-15,100075,26,Versand,WA-20553
2024-05-16,100093,37,Produktion,WA-20554
2024-05-16,100000,58,Versand,WA-20555
2024-05-16,100004,32,Versand,WA-20556
2024-05-16,100019,59,Produktion,WA-20557
2024-05-16,100007,49,Versand,WA-20558
2024-05-17,100042,37,Retourenaufbereitung,WA-20559
2024-05-17,100075,21,Versand,WA-20560
2024-05-18,100000,10,Versand,WA-20561
2024-05-18,100056,28,Produktion,WA-20562
2024-05-19,100063,32,Versand,WA-20563
2024-05-19,100083,9,Retourenaufbereitung,WA-20564
2024-05-20,100027,69,Versand,WA-20565
2024-05-20,100036,67,Versand,WA-20566
2024-05-20,100046,38,Versand,WA-20567
2024-05-20,100075,27,Versand,WA-20568
2024-05-20,100036,39,Reparatur,WA-20569
2024-05-21,100048,3,Reparatur,WA-20570
2024-05-21,100043,17,Versand,WA-20571
2024-05-22,100055,39,Versand,WA-20572
2024-05-22,100027,15,Reparatur,WA-20573
2024-05-22,100078,10,Retourenaufbereitung,WA-20574
2024-05-22,100005,7,Versand,WA-20575
2024-05-22,100060,62,Versand,WA-20576
2024-05-23,100019,3,Versand,WA-20577
2024-05-23,100077,38,Reparatur,WA-20578
2024-05-23,100001,37,Versand,WA-20579
2024-05-23,100072,68,Versand,WA-20580
2024-05-23,100036,65,Produktion,WA-20581
2024-05-23,100019,25,Versand,WA-20582
2024-05-23,100025,11,Versand,WA-20583
2024-05-23,100028,36,Versand,WA-20584
2024-05-24,100000,48,Versand,WA-20585
2024-05-24,100034,6,Versand,WA-20586
2024-05-24,100069,32,Versand,WA-20587
2024-05-24,100058,5,Versand,WA-20588
2024-05-24,100068,16,Produktion,WA-20589
2024-05-24,100032,62,Reparatur,WA-20590
2024-05-25,100050,47,Produktion,WA-20591
2024-05-25,100077,36,Versand,WA-20592
2024-05-25,100011,47,Versand,WA-20593
2024-05-25,100019,63,Versand,WA-20594
2024-05-26,100052,18,Versand,WA-20595
2024-05-26,100087,68,Versand,WA-20596
2024-05-26,100042,42,Produktion,WA-20597
2024-05-26,100097,19,Versand,WA-20598
2024-05-26,100088,36,Versand,WA-20599
2024-05-26,100049,18,Versand,WA-20600
2024-05-26,100028,62,Produktion,WA-20601
2024-05-27,100056,68,Versand,WA-20602
2024-05-27,100038,68,Produktion,WA-20603
