datum,artikel,menge,von_platz,nach_platz,grund
2024-05-31,100068,30,C39,C15,Kapazitätsausgleich
2024-06-05,100036,37,B50,C13,Qualitätsprüfung
2024-06-08,100031,23,B27,C14,Fehlplatzierung
2024-06-08,100008,10,A03,B13,Kapazitätsausgleich
2024-06-09,100098,5,C34,C32,Kommissionierung
2024-06-10,100018,36,A10,C29,Kapazitätsausgleich
2024-06-11,100047,34,A05,A08,Fehlplatzierung
2024-06-13,100079,31,C38,B05,Qualitätsprüfung
2024-06-15,100002,10,C30,C03,Qualitätsprüfung
2024-06-18,100019,19,A13,C31,Kommissionierung
2024-06-18,100023,32,C30,A32,Kapazitätsausgleich
2024-06-19,100053,1,B34,A10,Kapazitätsausgleich
2024-06-20,100032,5,B15,C10,Kapazitätsausgleich
2024-06-20,100023,4,B13,C24,Qualitätsprüfung
2024-06-23,100074,16,C01,B37,Qualitätsprüfung
2024-06-27,100071,24,B23,B05,Fehlplatzierung
2024-06-28,100035,16,A17,A32,Fehlplatzierung
2024-07-05,100037,2,A09,C35,Kommissionierung
2024-07-06,100083,28,C43,B43,Qualitätsprüfung
2024-07-06,100098,32,A38,A08,Fehlplatzierung
2024-07-07,100088,27,B44,B15,Qualitätsprüfung
2024-07-08,100098,20,B45,B07,Kapazitätsausgleich
2024-07-08,100024,24,A49,B17,Kommissionierung
2024-07-08,100092,12,B19,B22,Kapazitätsausgleich
2024-07-09,100017,35,B12,B04,Fehlplatzierung
2024-07-10,100081,33,B28,B17,Kommissionierung
2024-07-16,100065,33,C17,B01,Kapazitätsausgleich
2024-07-19,100053,37,C20,B47,Kommissionierung
2024-07-20,100034,12,C37,B42,Kommissionierung
2024-07-24,100079,3,B26,A08,Kapazitätsausgleich
2024-07-25,100060,1,A35,C13,Kapazitätsausgleich
2024-07-26,100040,33,A01,B46,Kommissionierung
2024-07-31,100099,10,A40,B38,Kommissionierung
2024-08-01,100032,29,B14,B28,Qualitätsprüfung
2024-08-02,100067,13,C50,A32,Kommissionierung
2024-08-02,100032,12,B10,C20,Qualitätsprüfung
2024-08-03,100013,31,B14,A46,Kommissionierung
2024-08-04,100020,2,B43,C44,Kommissionierung
2024-08-05,100047,35,B22,C42,Qualitätsprüfung
2024-08-05,100019,23,A11,B05,Kapazitätsausgleich
2024-08-09,100007,17,C05,A07,Kapazitätsausgleich
2024-08-12,100006,26,A14,B24,Kapazitätsausgleich
2024-08-12,100066,8,B10,A07,Qualitätsprüfung
2024-08-14,100016,29,A30,B35,Kommissionierung
2024-08-18,100032,26,A35,C47,Kommissionierung
2024-08-18,100047,10,A05,C12,Kapazitätsausgleich
2024-08-18,100075,26,B33,C25,Kapazitätsausgleich
2024-08-18,100058,34,C23,C47,Kapazitätsausgleich
2024-08-20,100085,7,B28,A36,Kapazitätsausgleich
2024-08-20,100021,4,B12,A29,Kommissionierung
2024-08-21,100029,11,C32,B32,Kapazitätsausgleich
2024-08-23,100037,29,B39,A02,Kapazitätsausgleich
2024-08-24,100050,36,A42,C29,Fehlplatzierung
2024-08-24,100053,25,B39,A47,Kapazitätsausgleich
2024-08-28,100007,21,C46,C48,Kommissionierung
2024-08-29,100026,36,A40,A11,Qualitätsprüfung
2024-08-30,100026,10,B22,C30,Kapazitätsausgleich
2024-08-31,100097,37,A39,C19,Kommissionierung
2024-09-08,100020,9,C04,C40,Qualitätsprüfung
2024-09-08,100029,24,A14,A20,Fehlplatzierung
2024-09-09,100096,35,A32,A05,Kapazitätsausgleich
2024-09-11,100027,35,C25,A37,Fehlplatzierung
2024-09-13,100063,36,B47,C37,Kommissionierung
2024-09-14,100096,18,A23,B03,Kapazitätsausgleich
2024-09-15,100068,39,B13,B49,Kommissionierung
2024-09-16,100060,32,C43,B36,Fehlplatzierung
2024-09-17,100047,24,C45,C08,Kommissionierung
2024-09-20,100018,23,B03,A24,Kapazitätsausgleich
2024-09-21,100003,32,C04,B31,Kommissionierung
2024-09-24,100034,37,C04,C20,Kapazitätsausgleich
2024-09-24,100063,12,A39,B09,Kapazitätsausgleich
2024-09-26,100048,13,C34,C28,Kapazitätsausgleich
2024-09-27,100016,23,B17,C14,Kapazitätsausgleich
2024-09-27,100043,25,C35,C15,Kapazitätsausgleich
2024-09-27,100091,35,A42,A14,Kapazitätsausgleich
2024-09-30,100029,30,A15,A09,Kommissionierung
2024-10-03,100092,17,C11,A40,Kapazitätsausgleich
2024-10-06,100045,20,A33,A25,Kapazitätsausgleich
2024-10-09,100005,25,A38,C03,Qualitätsprüfung
2024-10-09,100098,22,B47,A22,Kommissionierung
2024-10-10,100036,13,A33,A04,Kommissionierung
2024-10-10,100023,19,B36,A29,Kapazitätsausgleich
2024-10-12,100092,36,B16,C09,Kapazitätsausgleich
2024-10-15,100045,12,A10,B48,Kapazitätsausgleich
2024-10-19,100052,19,A05,A37,Kapazitätsausgleich
2024-10-20,100094,12,C23,B25,Kapazitätsausgleich
2024-10-21,100098,9,B24,B20,Kapazitätsausgleich
2024-10-22,100059,7,B47,C46,Kapazitätsausgleich
2024-10-27,100096,28,C18,C28,Kapazitätsausgleich
2024-10-30,100062,14,A38,B35,Kommissionierung
2024-11-02,100084,31,C41,A42,Kapazitätsausgleich
2024-11-02,100031,19,A47,B50,Kapazitätsausgleich
2024-11-04,100086,16,C09,A41,Kommissionierung
2024-11-05,100032,5,A15,A34,Kommissionierung
2024-11-09,100066,35,C36,A17,Kapazitätsausgleich
2024-11-10,100017,12,A05,C22,Qualitätsprüfung
2024-11-11,100024,25,A47,B26,Kommissionierung
2024-11-13,100094,21,B18,B37,Kapazitätsausgleich
2024-11-13,100053,36,B26,C17,Qualitätsprüfung
2024-11-15,100057,23,C30,C06,Fehlplatzierung
2024-11-22,100066,16,B45,B36,Kapazitätsausgleich
2024-11-22,100045,39,C15,A27,Kapazitätsausgleich
2024-11-23,100023,39,A36,B07,Qualitätsprüfung
2024-11-24,100031,14,A26,A31,Kommissionierung
2024-11-26,100046,31,A43,C34,Kapazitätsausgleich
2024-11-26,100085,5,A27,B48,Kapazitätsausgleich
2024-12-03,100022,35,B19,A12,Kapazitätsausgleich
2024-12-05,100065,23,C48,B03,Kommissionierung
2024-12-05,100026,29,A11,C38,Kommissionierung
2024-12-09,100001,11,B24,C45,Kapazitätsausgleich
2024-12-09,100089,18,C04,C22,Kommissionierung
2024-12-10,100016,12,A38,A46,Kommissionierung
2024-12-10,100032,9,C34,B14,Kapazitätsausgleich
2024-12-11,100008,10,A23,C30,Kapazitätsausgleich
2024-12-11,100042,17,A47,B04,Kommissionierung
2024-12-13,100047,38,B40,C07,Qualitätsprüfung
2024-12-14,100038,7,A46,B01,Kommissionierung
2024-12-16,100092,13,C07,A36,Kommissionierung
2024-12-17,100041,9,C40,C15,Kapazitätsausgleich
2024-12-24,100025,27,C41,A26,Kapazitätsausgleich
2024-12-24,100098,2,C04,A29,Kommissionierung
2024-12-25,100049,5,C11,C49,Kapazitätsausgleich
2024-12-25,100024,29,C04,A11,Kapazitätsausgleich
2024-12-25,100023,37,B10,A40,Kapazitätsausgleich
2024-12-29,100012,38,B50,A11,Kapazitätsausgleich
