datum,artikel,menge,lieferant,lieferschein
2024-01-15,100092,38,InduParts,LS-10045
2024-01-15,100071,40,ElektroPlus,LS-10046
2024-01-15,100010,6,LiefTec,LS-10047
2024-01-16,100013,19,InduParts,LS-10048
2024-01-17,100059,38,MechaPro,LS-10049
2024-01-18,100029,40,MechaPro,LS-10050
2024-01-19,100034,10,LiefTec,LS-10051
2024-01-19,100084,43,InduParts,LS-10052
2024-01-20,100036,46,LiefTec,LS-10053
2024-01-20,100004,55,MechaPro,LS-10054
2024-01-20,100082,55,LiefTec,LS-10055
2024-01-21,100077,58,InduParts,LS-10056
2024-01-21,100025,16,InduParts,LS-10057
2024-01-22,100061,7,InduParts,LS-10058
2024-01-22,100003,49,LiefTec,LS-10059
2024-01-22,100088,22,LiefTec,LS-10060
2024-01-23,100041,44,InduParts,LS-10061
2024-01-23,100088,25,MechaPro,LS-10062
2024-01-25,100017,19,LiefTec,LS-10063
2024-01-25,100039,37,InduParts,LS-10064
2024-01-25,100071,39,ElektroPlus,LS-10065
2024-01-26,100038,30,InduParts,LS-10066
2024-01-26,100013,12,InduParts,LS-10067
2024-01-26,100031,40,ElektroPlus,LS-10068
2024-01-27,100050,52,LiefTec,LS-10069
2024-01-28,100037,34,MechaPro,LS-10070
2024-01-28,100096,27,ElektroPlus,LS-10071
2024-01-28,100022,46,LiefTec,LS-10072
2024-01-28,100062,48,InduParts,LS-10073
2024-01-28,100014,18,MechaPro,LS-10074
2024-01-29,100096,18,MechaPro,LS-10075
2024-01-29,100024,6,InduParts,LS-10076
2024-01-30,100016,59,ElektroPlus,LS-10077
2024-01-31,100096,41,InduParts,LS-10078
2024-02-02,100065,9,LiefTec,LS-10079
2024-02-02,100077,42,ElektroPlus,LS-10080
2024-02-02,100052,49,LiefTec,LS-10081
2024-02-03,100050,45,MechaPro,LS-10082
2024-02-03,100038,58,MechaPro,LS-10083
2024-02-03,100050,51,MechaPro,LS-10084
2024-02-03,100069,18,MechaPro,LS-10085
2024-02-04,100005,43,ElektroPlus,LS-10086
2024-02-04,100066,29,InduParts,LS-10087
2024-02-04,100006,24,InduParts,LS-10088
2024-02-04,100050,6,LiefTec,LS-10089
2024-02-04,100071,43,ElektroPlus,LS-10090
2024-02-05,100041,10,ElektroPlus,LS-10091
2024-02-05,100063,21,InduParts,LS-10092
2024-02-05,100014,29,LiefTec,LS-10093
2024-02-05,100028,32,LiefTec,LS-10094
2024-02-06,100032,6,LiefTec,LS-10095
2024-02-06,100093,39,LiefTec,LS-10096
2024-02-06,100026,41,MechaPro,LS-10097
2024-02-07,100035,9,ElektroPlus,LS-10098
2024-02-07,100028,5,MechaPro,LS-10099
2024-02-08,100037,44,LiefTec,LS-10100
2024-02-08,100056,16,LiefTec,LS-10101
2024-02-08,100096,40,LiefTec,LS-10102
2024-02-08,100026,49,LiefTec,LS-10103
2024-02-08,100054,27,LiefTec,LS-10104
2024-02-08,100032,51,LiefTec,LS-10105
2024-02-08,100067,35,InduParts,LS-10106
2024-02-09,100085,15,ElektroPlus,LS-10107
2024-02-10,100065,14,MechaPro,LS-10108
2024-02-10,100009,7,MechaPro,LS-10109
2024-02-10,100004,58,InduParts,LS-10110
2024-02-11,100073,18,LiefTec,LS-10111
2024-02-11,100096,20,LiefTec,LS-10112
2024-02-11,100037,14,ElektroPlus,LS-10113
2024-02-12,100012,33,LiefTec,LS-10114
2024-02-12,100030,14,InduParts,LS-10115
2024-02-13,100046,16,MechaPro,LS-10116
2024-02-13,100099,34,MechaPro,LS-10117
2024-02-13,100087,45,MechaPro,LS-10118
2024-02-13,100051,5,InduParts,LS-10119
2024-02-14,100055,9,LiefTec,LS-10120
2024-02-15,100014,24,LiefTec,LS-10121
2024-02-15,100028,12,InduParts,LS-10122
2024-02-15,100007,47,MechaPro,LS-10123
2024-02-16,100004,16,LiefTec,LS-10124
2024-02-16,100028,5,ElektroPlus,LS-10125
2024-02-16,100046,58,MechaPro,LS-10126
2024-02-16,100067,24,InduParts,LS-10127
2024-02-16,100075,32,InduParts,LS-10128
2024-02-17,100044,47,InduParts,LS-10129
2024-02-17,100001,41,MechaPro,LS-10130
2024-02-17,100026,51,ElektroPlus,LS-10131
2024-02-18,100094,41,LiefTec,LS-10132
2024-02-18,100035,16,InduParts,LS-10133
2024-02-19,100035,41,LiefTec,LS-10134
2024-02-20,100025,53,MechaPro,LS-10135
2024-02-20,100042,53,MechaPro,LS-10136
2024-02-20,100026,48,ElektroPlus,LS-10137
2024-02-20,100068,32,ElektroPlus,LS-10138
2024-02-20,100019,51,LiefTec,LS-10139
2024-02-20,100010,19,LiefTec,LS-10140
2024-02-21,100073,10,InduParts,LS-10141
2024-02-21,100037,48,MechaPro,LS-10142
2024-02-21,100005,24,LiefTec,LS-10143
2024-02-22,100071,54,InduParts,LS-10144
2024-02-22,100022,18,MechaPro,LS-10145
2024-02-22,100046,6,ElektroPlus,LS-10146
2024-02-22,100089,13,LiefTec,LS-10147
2024-02-22,100045,41,MechaPro,LS-10148
2024-02-22,100011,24,MechaPro,LS-10149
2024-02-22,100089,30,InduParts,LS-10150
2024-02-23,100012,33,MechaPro,LS-10151
2024-02-23,100061,5,InduParts,LS-10152
2024-02-23,100081,59,LiefTec,LS-10153
2024-02-23,100088,39,InduParts,LS-10154
2024-02-23,100096,10,MechaPro,LS-10155
2024-02-23,100059,41,LiefTec,LS-10156
2024-02-23,100042,57,InduParts,LS-10157
2024-02-24,100075,9,LiefTec,LS-10158
2024-02-25,100099,37,LiefTec,LS-10159
2024-02-25,100067,53,ElektroPlus,LS-10160
2024-02-26,100004,55,MechaPro,LS-10161
2024-02-27,100036,18,InduParts,LS-10162
2024-02-27,100071,16,LiefTec,LS-10163
2024-02-27,100091,46,InduParts,LS-10164
2024-02-27,100030,24,LiefTec,LS-10165
2024-02-27,100008,57,MechaPro,LS-10166
2024-02-27,100050,54,ElektroPlus,LS-10167
2024-02-28,100028,28,InduParts,LS-10168
2024-02-29,100077,47,MechaPro,LS-10169
2024-02-29,100039,38,MechaPro,LS-10170
2024-03-01,100040,29,ElektroPlus,LS-10171
2024-03-01,100085,54,MechaPro,LS-10172
2024-03-02,100010,33,InduParts,LS-10173
2024-03-02,100022,43,InduParts,LS-10174
2024-03-02,100000,35,LiefTec,LS-10175
2024-03-02,100045,51,LiefTec,LS-10176
2024-03-03,100020,47,InduParts,LS-10177
2024-03-03,100089,54,LiefTec,LS-10178
2024-03-03,100035,27,LiefTec,LS-10179
2024-03-03,100053,48,ElektroPlus,LS-10180
2024-03-05,100086,42,MechaPro,LS-10181
2024-03-05,100056,24,InduParts,LS-10182
2024-03-05,100000,27,MechaPro,LS-10183
2024-03-06,100062,49,MechaPro,LS-10184
2024-03-06,100053,56,LiefTec,LS-10185
2024-03-07,100054,20,MechaPro,LS-10186
2024-03-08,100039,54,LiefTec,LS-10187
2024-03-08,100014,46,MechaPro,LS-10188
2024-03-09,100020,59,InduParts,LS-10189
2024-03-09,100046,12,MechaPro,LS-10190
2024-03-09,100072,54,MechaPro,LS-10191
2024-03-09,100052,25,MechaPro,LS-10192
2024-03-10,100008,5,LiefTec,LS-10193
2024-03-10,100073,59,MechaPro,LS-10194
2024-03-12,100051,12,LiefTec,LS-10195
2024-03-12,100056,33,LiefTec,LS-10196
2024-03-13,100025,36,LiefTec,LS-10197
2024-03-14,100040,42,MechaPro,LS-10198
2024-03-15,100034,9,InduParts,LS-10199
2024-03-15,100062,51,LiefTec,LS-10200
2024-03-15,100024,26,MechaPro,LS-10201
2024-03-15,100089,51,InduParts,LS-10202
2024-03-16,100074,38,LiefTec,LS-10203
2024-03-16,100037,5,ElektroPlus,LS-10204
2024-03-16,100001,59,MechaPro,LS-10205
2024-03-18,100006,59,MechaPro,LS-10206
2024-03-18,100081,30,MechaPro,LS-10207
2024-03-18,100090,47,LiefTec,LS-10208
2024-03-20,100033,14,InduParts,LS-10209
2024-03-21,100090,34,MechaPro,LS-10210
2024-03-21,100016,54,ElektroPlus,LS-10211
2024-03-21,100042,22,LiefTec,LS-10212
2024-03-21,100058,21,MechaPro,LS-10213
2024-03-22,100050,30,MechaPro,LS-10214
2024-03-23,100053,12,LiefTec,LS-10215
2024-03-23,100023,51,MechaPro,LS-10216
2024-03-24,100024,44,InduParts,LS-10217
2024-03-25,100070,53,InduParts,LS-10218
2024-03-26,100051,16,MechaPro,LS-10219
2024-03-26,100069,31,InduParts,LS-10220
2024-03-26,100087,12,ElektroPlus,LS-10221
2024-03-28,100032,29,ElektroPlus,LS-10222
2024-03-29,100048,50,LiefTec,LS-10223
2024-03-29,100028,8,InduParts,LS-10224
2024-03-30,100062,37,MechaPro,LS-10225
2024-03-30,100021,5,ElektroPlus,LS-10226
2024-03-30,100025,23,MechaPro,LS-10227
2024-03-30,100027,35,LiefTec,LS-10228
2024-03-31,100084,20,InduParts,LS-10229
2024-04-01,100048,18,MechaPro,LS-10230
2024-04-01,100070,57,ElektroPlus,LS-10231
2024-04-01,100080,52,ElektroPlus,LS-10232
2024-04-01,100083,9,InduParts,LS-10233
2024-04-02,100048,45,LiefTec,LS-10234
2024-04-02,100019,30,InduParts,LS-10235
2024-04-03,100085,32,LiefTec,LS-10236
2024-04-03,100091,6,LiefTec,LS-10237
2024-04-04,100062,54,InduParts,LS-10238
2024-04-04,100060,10,LiefTec,LS-10239
2024-04-04,100048,13,MechaPro,LS-10240
2024-04-04,100070,37,ElektroPlus,LS-10241
2024-04-04,100000,45,MechaPro,LS-10242
2024-04-05,100095,29,LiefTec,LS-10243
2024-04-05,100012,52,ElektroPlus,LS-10244
2024-04-05,100093,17,LiefTec,LS-10245
2024-04-05,100086,13,InduParts,LS-10246
2024-04-05,100050,57,ElektroPlus,LS-10247
2024-04-06,100055,17,ElektroPlus,LS-10248
2024-04-06,100082,35,InduParts,LS-10249
2024-04-07,100061,45,MechaPro,LS-10250
2024-04-07,100031,15,LiefTec,LS-10251
2024-04-07,100029,8,InduParts,LS-10252
2024-04-08,100028,38,ElektroPlus,LS-10253
2024-04-08,100048,42,MechaPro,LS-10254
2024-04-08,100044,50,LiefTec,LS-10255
2024-04-08,100092,8,LiefTec,LS-10256
2024-04-08,100029,42,LiefTec,LS-10257
2024-04-08,100015,23,InduParts,LS-10258
2024-04-08,100039,10,MechaPro,LS-10259
2024-04-08,100018,38,ElektroPlus,LS-10260
2024-04-08,100017,22,InduParts,LS-10261
2024-04-09,100000,17,LiefTec,LS-10262
2024-04-09,100077,45,InduParts,LS-10263
2024-04-09,100046,27,MechaPro,LS-10264
2024-04-09,100065,23,MechaPro,LS-10265
2024-04-10,100091,49,InduParts,LS-10266
2024-04-10,100093,15,InduParts,LS-10267
2024-04-10,100037,5,InduParts,LS-10268
2024-04-10,100050,28,LiefTec,LS-10269
2024-04-10,100062,58,LiefTec,LS-10270
2024-04-12,100003,11,InduParts,LS-10271
2024-04-12,100000,29,LiefTec,LS-10272
2024-04-12,100007,25,MechaPro,LS-10273
2024-04-12,100028,19,LiefTec,LS-10274
2024-04-13,100054,5,InduParts,LS-10275
2024-04-13,100002,16,LiefTec,LS-10276
2024-04-14,100031,11,InduParts,LS-10277
2024-04-14,100009,19,ElektroPlus,LS-10278
2024-04-15,100073,25,LiefTec,LS-10279
2024-04-15,100082,23,LiefTec,LS-10280
2024-04-15,100033,33,MechaPro,LS-10281
2024-04-16,100096,29,ElektroPlus,LS-10282
2024-04-16,100086,37,LiefTec,LS-10283
2024-04-17,100054,53,MechaPro,LS-10284
2024-04-17,100091,36,LiefTec,LS-10285
2024-04-18,100031,53,InduParts,LS-10286
2024-04-18,100049,39,MechaPro,LS-10287
2024-04-20,100006,48,InduParts,LS-10288
2024-04-20,100092,42,ElektroPlus,LS-10289
2024-04-20,100007,30,LiefTec,LS-10290
2024-04-20,100064,15,InduParts,LS-10291
2024-04-20,100056,39,LiefTec,LS-10292
2024-04-21,100066,12,ElektroPlus,LS-10293
2024-04-21,100087,50,InduParts,LS-10294
2024-04-21,100086,18,ElektroPlus,LS-10295
2024-04-21,100058,14,LiefTec,LS-10296
2024-04-22,100071,6,LiefTec,LS-10297
2024-04-22,100053,50,MechaPro,LS-10298
2024-04-22,100066,13,MechaPro,LS-10299
2024-04-22,100050,7,LiefTec,LS-10300
2024-04-22,100096,25,MechaPro,LS-10301
2024-04-22,100091,30,LiefTec,LS-10302
2024-04-22,100007,12,MechaPro,LS-10303
2024-04-23,100033,52,InduParts,LS-10304
2024-04-23,100034,6,MechaPro,LS-10305
2024-04-24,100095,10,LiefTec,LS-10306
2024-04-25,100087,32,MechaPro,LS-10307
2024-04-25,100077,57,LiefTec,LS-10308
2024-04-25,100031,33,ElektroPlus,LS-10309
2024-04-26,100045,30,LiefTec,LS-10310
2024-04-26,100015,29,InduParts,LS-10311
2024-04-27,100067,16,ElektroPlus,LS-10312
2024-04-27,100036,9,InduParts,LS-10313
2024-04-27,100053,38,InduParts,LS-10314
2024-04-27,100084,52,InduParts,LS-10315
2024-04-28,100013,41,ElektroPlus,LS-10316
2024-04-28,100094,19,InduParts,LS-10317
2024-04-29,100054,48,MechaPro,LS-10318
2024-04-29,100047,40,InduParts,LS-10319
2024-04-30,100081,19,MechaPro,LS-10320
2024-04-30,100006,47,InduParts,LS-10321
2024-05-01,100073,52,MechaPro,LS-10322
2024-05-01,100006,27,LiefTec,LS-10323
2024-05-01,100032,10,LiefTec,LS-10324
2024-05-01,100022,50,LiefTec,LS-10325
2024-05-01,100084,54,LiefTec,LS-10326
2024-05-01,100018,48,LiefTec,LS-10327
2024-05-02,100018,47,MechaPro,LS-10328
2024-05-03,100035,49,LiefTec,LS-10329
2024-05-03,100028,25,InduParts,LS-10330
2024-05-04,100059,27,LiefTec,LS-10331
2024-05-05,100081,47,LiefTec,LS-10332
2024-05-05,100001,59,InduParts,LS-10333
2024-05-05,100000,20,MechaPro,LS-10334
2024-05-05,100046,51,LiefTec,LS-10335
2024-05-05,100068,57,ElektroPlus,LS-10336
2024-05-05,100019,19,ElektroPlus,LS-10337
2024-05-06,100010,29,MechaPro,LS-10338
2024-05-06,100001,40,MechaPro,LS-10339
2024-05-06,100066,15,ElektroPlus,LS-10340
2024-05-07,100086,55,InduParts,LS-10341
2024-05-07,100011,19,MechaPro,LS-10342
2024-05-07,100019,8,InduParts,LS-10343
2024-05-07,100004,25,LiefTec,LS-10344
2024-05-08,100036,17,MechaPro,LS-10345
2024-05-08,100037,26,LiefTec,LS-10346
2024-05-08,100093,23,InduParts,LS-10347
2024-05-09,100008,38,MechaPro,LS-10348
2024-05-09,100097,18,InduParts,LS-10349
2024-05-10,100052,8,LiefTec,LS-10350
2024-05-10,100043,52,LiefTec,LS-10351
2024-05-10,100098,57,MechaPro,LS-10352
2024-05-10,100085,56,InduParts,LS-10353
2024-05-11,100023,50,MechaPro,LS-10354
2024-05-12,100080,31,LiefTec,LS-10355
2024-05-12,100073,33,ElektroPlus,LS-10356
2024-05-12,100029,51,LiefTec,LS-10357
2024-05-12,100058,32,ElektroPlus,LS-10358
2024-05-12,100086,39,LiefTec,LS-10359
2024-05-13,100095,12,InduParts,LS-10360
2024-05-13,100080,20,LiefTec,LS-10361
2024-05-13,100080,46,ElektroPlus,LS-10362
2024-05-14,100013,40,MechaPro,LS-10363
2024-05-14,100008,34,LiefTec,LS-10364
2024-05-14,100039,22,MechaPro,LS-10365
2024-05-15,100065,6,LiefTec,LS-10366
2024-05-15,100024,53,LiefTec,LS-10367
2024-05-15,100072,17,ElektroPlus,LS-10368
2024-05-16,100021,8,MechaPro,LS-10369
2024-05-16,100003,30,InduParts,LS-10370
2024-05-17,100025,29,InduParts,LS-10371
2024-05-18,100057,34,InduParts,LS-10372
2024-05-18,100028,15,LiefTec,LS-10373
2024-05-19,100097,11,LiefTec,LS-10374
2024-05-19,100086,35,InduParts,LS-10375
2024-05-20,100036,48,ElektroPlus,LS-10376
2024-05-20,100074,14,LiefTec,LS-10377
2024-05-21,100069,43,LiefTec,LS-10378
2024-05-21,100017,17,MechaPro,LS-10379
2024-05-22,100084,35,ElektroPlus,LS-10380
2024-05-22,100041,11,LiefTec,LS-10381
2024-05-22,100099,53,MechaPro,LS-10382
2024-05-23,100040,46,ElektroPlus,LS-10383
2024-05-23,100037,46,LiefTec,LS-10384
2024-05-23,100033,40,LiefTec,LS-10385
2024-05-23,100016,24,InduParts,LS-10386
2024-05-23,100036,8,ElektroPlus,LS-10387
2024-05-23,100024,58,LiefTec,LS-10388
2024-05-23,100075,11,MechaPro,LS-10389
2024-05-24,100086,58,MechaPro,LS-10390
2024-05-24,100085,5,MechaPro,LS-10391
2024-05-24,100084,48,InduParts,LS-10392
2024-05-24,100026,49,MechaPro,LS-10393
2024-05-24,100056,46,MechaPro,LS-10394
2024-05-25,100030,51,MechaPro,LS-10395
2024-05-25,100005,17,MechaPro,LS-10396
2024-05-25,100090,59,MechaPro,LS-10397
2024-05-26,100039,26,ElektroPlus,LS-10398
2024-05-26,100097,58,LiefTec,LS-10399
2024-05-26,100011,25,InduParts,LS-10400
2024-05-26,100052,26,InduParts,LS-10401
2024-05-26,100070,32,LiefTec,LS-10402
2024-05-26,100009,13,MechaPro,LS-10403
2024-05-27,100044,30,MechaPro,LS-10404
2024-05-27,100016,13,LiefTec,LS-10405
2024-05-27,100025,19,MechaPro,LS-10406
2024-05-28,100084,14,LiefTec,LS-10407
2024-05-29,100091,28,LiefTec,LS-10408
2024-05-29,100061,46,InduParts,LS-10409
2024-05-29,100045,12,LiefTec,LS-10410
2024-05-30,100063,28,InduParts,LS-10411
2024-05-30,100001,20,MechaPro,LS-10412
2024-05-30,100053,53,ElektroPlus,LS-10413
2024-05-30,100064,30,MechaPro,LS-10414
2024-05-30,100050,31,LiefTec,LS-10415
2024-05-31,100052,41,InduParts,LS-10416
2024-05-31,100035,8,LiefTec,LS-10417
2024-05-31,100025,54,MechaPro,LS-10418
2024-05-31,100028,28,ElektroPlus,LS-10419
2024-05-31,100020,23,LiefTec,LS-10420
2024-05-31,100010,40,MechaPro,LS-10421
2024-06-01,100039,43,InduParts,LS-10422
2024-06-01,100010,14,ElektroPlus,LS-10423
2024-06-02,100035,29,InduParts,LS-10424
2024-06-02,100058,22,LiefTec,LS-10425
2024-06-02,100038,23,InduParts,LS-10426
2024-06-03,100098,40,LiefTec,LS-10427
2024-06-03,100053,14,InduParts,LS-10428
2024-06-04,100097,37,ElektroPlus,LS-10429
2024-06-05,100054,59,InduParts,LS-10430
2024-06-06,100023,54,ElektroPlus,LS-10431
2024-06-06,100021,9,LiefTec,LS-10432
2024-06-06,100068,51,InduParts,LS-10433
2024-06-08,100055,53,InduParts,LS-10434
2024-06-08,100032,39,LiefTec,LS-10435
2024-06-08,100035,48,ElektroPlus,LS-10436
2024-06-08,100019,38,LiefTec,LS-10437
2024-06-08,100082,37,InduParts,LS-10438
2024-06-08,100098,59,InduParts,LS-10439
2024-06-08,100080,25,InduParts,LS-10440
2024-06-09,100061,21,LiefTec,LS-10441
2024-06-09,100097,26,MechaPro,LS-10442
2024-06-09,100072,52,MechaPro,LS-10443
2024-06-09,100025,41,ElektroPlus,LS-10444
2024-06-10,100065,19,MechaPro,LS-10445
2024-06-10,100072,39,MechaPro,LS-10446
2024-06-11,100072,32,InduParts,LS-10447
2024-06-11,100039,11,MechaPro,LS-10448
2024-06-11,100016,36,InduParts,LS-10449
2024-06-11,100000,15,InduParts,LS-10450
2024-06-12,100088,14,ElektroPlus,LS-10451
2024-06-12,100060,13,MechaPro,LS-10452
2024-06-12,100042,18,MechaPro,LS-10453
2024-06-13,100041,17,LiefTec,LS-10454
2024-06-13,100024,29,LiefTec,LS-10455
2024-06-13,100038,6,LiefTec,LS-10456
2024-06-14,100034,39,LiefTec,LS-10457
2024-06-15,100002,11,InduParts,LS-10458
2024-06-15,100043,25,InduParts,LS-10459
2024-06-16,100050,22,MechaPro,LS-10460
2024-06-16,100093,7,InduParts,LS-10461
2024-06-17,100097,46,ElektroPlus,LS-10462
2024-06-18,100011,58,InduParts,LS-10463
2024-06-18,100018,43,InduParts,LS-10464
2024-06-18,100043,45,MechaPro,LS-10465
2024-06-18,100058,53,MechaPro,LS-10466
2024-06-18,100048,15,LiefTec,LS-10467
2024-06-18,100060,43,MechaPro,LS-10468
2024-06-19,100016,28,ElektroPlus,LS-10469
2024-06-20,100073,50,InduParts,LS-10470
2024-06-20,100056,23,LiefTec,LS-10471
2024-06-20,100054,8,MechaPro,LS-10472
2024-06-20,100046,30,InduParts,LS-10473
2024-06-21,100011,42,LiefTec,LS-10474
2024-06-21,100061,46,MechaPro,LS-10475
2024-06-21,100079,36,ElektroPlus,LS-10476
2024-06-21,100087,43,MechaPro,LS-10477
2024-06-21,100082,49,LiefTec,LS-10478
2024-06-21,100007,50,MechaPro,LS-10479
2024-06-22,100094,40,ElektroPlus,LS-10480
2024-06-22,100020,44,MechaPro,LS-10481
2024-06-23,100080,41,LiefTec,LS-10482
2024-06-24,100086,37,MechaPro,LS-10483
2024-06-24,100079,40,MechaPro,LS-10484
2024-06-25,100069,7,MechaPro,LS-10485
2024-06-25,100071,13,InduParts,LS-10486
2024-06-25,100024,12,LiefTec,LS-10487
2024-06-25,100081,37,ElektroPlus,LS-10488
2024-06-26,100088,10,LiefTec,LS-10489
2024-06-26,100011,45,MechaPro,LS-10490
2024-06-27,100014,43,LiefTec,LS-10491
2024-06-27,100058,8,MechaPro,LS-10492
2024-06-28,100025,17,MechaPro,LS-10493
2024-06-28,100025,53,MechaPro,LS-10494
2024-06-28,100046,6,LiefTec,LS-10495
2024-06-28,100031,9,InduParts,LS-10496
2024-06-28,100009,48,LiefTec,LS-10497
2024-06-29,100015,31,InduParts,LS-10498
2024-06-29,100070,36,ElektroPlus,LS-10499
2024-06-30,100016,25,MechaPro,LS-10500
2024-07-01,100022,12,MechaPro,LS-10501
2024-07-01,100025,42,MechaPro,LS-10502
2024-07-02,100084,12,LiefTec,LS-10503
2024-07-02,100085,54,MechaPro,LS-10504
2024-07-02,100006,7,InduParts,LS-10505
2024-07-03,100013,58,MechaPro,LS-10506
2024-07-04,100078,48,LiefTec,LS-10507
2024-07-04,100006,7,InduParts,LS-10508
2024-07-04,100008,26,MechaPro,LS-10509
2024-07-05,100047,10,InduParts,LS-10510
2024-07-05,100071,6,MechaPro,LS-10511
2024-07-05,100058,27,MechaPro,LS-10512
2024-07-05,100086,48,LiefTec,LS-10513
2024-07-05,100092,6,LiefTec,LS-10514
2024-07-06,100081,42,ElektroPlus,LS-10515
2024-07-06,100094,21,LiefTec,LS-10516
2024-07-06,100093,39,ElektroPlus,LS-10517
2024-07-07,100038,38,MechaPro,LS-10518
2024-07-07,100098,27,LiefTec,LS-10519
2024-07-08,100017,34,LiefTec,LS-10520
2024-07-08,100058,56,LiefTec,LS-10521
2024-07-08,100016,12,ElektroPlus,LS-10522
2024-07-08,100013,26,MechaPro,LS-10523
2024-07-08,100030,48,MechaPro,LS-10524
2024-07-08,100023,40,MechaPro,LS-10525
2024-07-09,100098,9,LiefTec,LS-10526
2024-07-09,100059,17,MechaPro,LS-10527
2024-07-09,100044,33,LiefTec,LS-10528
2024-07-10,100097,35,InduParts,LS-10529
2024-07-10,100002,51,MechaPro,LS-10530
2024-07-10,100036,59,MechaPro,LS-10531
2024-07-10,100042,20,MechaPro,LS-10532
2024-07-10,100039,46,MechaPro,LS-10533
2024-07-10,100089,34,ElektroPlus,LS-10534
2024-07-10,100054,59,MechaPro,LS-10535
2024-07-12,100086,20,LiefTec,LS-10536
2024-07-12,100038,16,InduParts,LS-10537
2024-07-12,100014,21,LiefTec,LS-10538
2024-07-13,100003,20,LiefTec,LS-10539
2024-07-13,100092,16,ElektroPlus,LS-10540
2024-07-13,100085,12,InduParts,LS-10541
2024-07-14,100024,24,ElektroPlus,LS-10542
2024-07-14,100012,7,MechaPro,LS-10543
2024-07-15,100081,20,MechaPro,LS-10544
2024-07-15,100032,34,LiefTec,LS-10545
2024-07-16,100015,49,LiefTec,LS-10546
2024-07-16,100041,27,InduParts,LS-10547
2024-07-16,100065,32,MechaPro,LS-10548
2024-07-16,100054,55,InduParts,LS-10549
2024-07-17,100098,44,InduParts,LS-10550
2024-07-19,100041,58,LiefTec,LS-10551
2024-07-19,100033,9,MechaPro,LS-10552
2024-07-19,100029,24,InduParts,LS-10553
2024-07-20,100012,44,LiefTec,LS-10554
2024-07-20,100012,48,InduParts,LS-10555
2024-07-20,100017,5,MechaPro,LS-10556
2024-07-20,100031,34,LiefTec,LS-10557
2024-07-21,100095,25,MechaPro,LS-10558
2024-07-21,100098,24,ElektroPlus,LS-10559
2024-07-21,100038,10,LiefTec,LS-10560
2024-07-22,100045,26,InduParts,LS-10561
2024-07-23,100028,22,LiefTec,LS-10562
2024-07-23,100061,12,InduParts,LS-10563
2024-07-24,100092,43,InduParts,LS-10564
2024-07-24,100061,36,MechaPro,LS-10565
2024-07-25,100056,37,MechaPro,LS-10566
2024-07-25,100015,57,InduParts,LS-10567
2024-07-25,100055,20,MechaPro,LS-10568
2024-07-26,100009,16,InduParts,LS-10569
2024-07-26,100029,42,LiefTec,LS-10570
2024-07-26,100024,56,ElektroPlus,LS-10571
2024-07-30,100083,38,InduParts,LS-10572
2024-07-30,100004,18,ElektroPlus,LS-10573
2024-07-30,100064,40,LiefTec,LS-10574
2024-07-31,100093,37,MechaPro,LS-10575
2024-07-31,100048,27,MechaPro,LS-10576
2024-08-01,100002,54,MechaPro,LS-10577
2024-08-01,100044,49,MechaPro,LS-10578
2024-08-01,100013,6,LiefTec,LS-10579
2024-08-02,100029,45,InduParts,LS-10580
2024-08-02,100067,25,MechaPro,LS-10581
